key_size;generate_keys;encrypt;decrypt;brute_force;
70;1;0;0;1658057;
70;1;0;0;200855;
70;0;0;0;229133;
75;0;0;0;9851415;
75;0;0;0;2737255;
75;0;0;1;16575618;
75;1;0;0;9559725;
75;0;0;0;16402946;
75;0;0;0;3257929;
75;0;0;1;2791483;
75;1;0;0;11779740;
75;0;0;0;955847;
75;0;0;0;9553333;
75;1;0;0;24281269;
75;1;0;0;23240936;
75;0;0;0;1642013;
75;0;1;0;1851029;
75;0;0;1;21678845;
75;0;0;1;6872492;
75;1;0;0;10842205;
75;1;0;0;14292571;
75;0;0;1;29158716;
75;1;0;1;6540842;
75;1;0;1;10341444;
75;1;0;1;16837534;
75;3;0;0;26688635;
75;1;0;0;7463307;
75;0;0;1;10393144;
75;1;0;1;17734703;
75;0;0;1;74308;
75;1;0;0;17891232;
75;1;0;0;26842270;
75;0;0;1;18793287;
80;1;0;0;20289599;
80;1;0;0;137558827;
80;1;0;0;120856548;
80;1;0;0;15078184;
80;0;0;0;74080815;
80;0;0;0;93574372;
80;0;1;0;110326394;
80;1;0;0;90468103;
80;0;1;0;118412011;
80;1;0;0;109353032;
80;1;0;0;27976000;
80;0;0;0;3384609;
80;1;0;0;43977079;
80;1;0;0;18470318;
80;0;0;0;23362533;
80;0;1;0;92818470;
80;0;0;0;50787377;
80;0;0;0;107005417;
80;0;1;0;13165577;
80;0;0;0;14986058;
80;0;0;0;19258617;
80;0;0;1;2291525;
80;1;0;0;52684980;
80;1;0;0;46367379;
80;1;0;0;10119399;
80;0;0;1;6158868;
80;0;0;1;48586642;
80;1;0;0;18452040;
80;0;0;0;51489516;
80;0;0;1;86276864;
